#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,Philadelphia 76ers,21,16,5,1013,98.9,91.5,7.4,56.9,1.16,15.1,31.5,67.8,50.5,17.8,45.7,51.2,93.69,56.3,"1,973",2000
1,Utah Jazz,21,16,5,1013,105.8,97.4,8.4,70,1.61,19.6,32,70.6,51.8,17.3,50.8,55,91.69,57.4,"1,939",2000
3,Los Angeles Lakers,23,15,8,1114,107.6,103.6,4,61.4,1.6,18,35,69.8,52.4,16.1,50.8,53.6,94.06,53,"2,183",2000
3,Portland Trail Blazers,23,15,8,1109,103.3,99.5,3.8,63.7,1.4,18,33,68,51.2,18,49.6,54.1,90.79,55.3,"2,103",2000
5,Dallas Mavericks,23,14,9,1104,103.2,100.7,2.5,54.2,1.38,15.9,27.8,65,47,15.5,49.4,53.4,92.54,51.4,"2,129",2000
5,New York Knicks,22,14,8,1061,99.4,95.5,3.9,51.4,1.21,14.6,28.9,70.8,50.1,16,46.7,51.6,87.77,52.2,"1,945",2000
5,Phoenix Suns,20,14,6,975,98.6,92.6,6.1,65.4,1.41,17.6,30.1,68.8,49.5,17.5,47.2,51.2,94.03,55.1,"1,908",2000
5,Sacramento Kings,19,14,5,932,101.5,93.1,8.5,61.8,1.5,17.1,30.8,69.4,50.2,15.7,47.6,52.1,96.1,57.9,"1,874",2000
9,Charlotte Hornets,22,13,9,1066,100.1,96.2,3.9,66.3,1.39,17.1,34,68.1,51.3,17.4,45.8,51.1,89.79,54.9,"1,998",2000
9,Cleveland Cavaliers,20,13,7,970,97.9,98.9,-1,60.1,1.14,16.5,35.1,68.2,52.2,20.2,47.2,51.4,91.29,49.7,"1,842",2000
9,Minnesota Timberwolves,22,13,9,1071,102.7,101.2,1.5,61.8,1.62,17.7,31.4,68.6,49.6,15.4,47.8,52,93.29,51,"2,078",2000
9,San Antonio Spurs,20,13,7,965,100.6,94.3,6.2,59.8,1.33,16.1,29.9,69.9,51,16.5,47.4,52.5,92.44,55.7,"1,859",2000
13,Houston Rockets,21,12,9,1013,103.6,101.6,1.9,55.6,1.21,15.4,29.9,68.9,49.3,17.3,48.6,53.8,90.62,50.8,"1,910",2000
14,Miami Heat,22,11,11,1061,97.8,96.5,1.3,58.5,1.19,15.3,28.1,68.5,48.3,17.2,45.9,51.4,89.21,51.3,"1,970",2000
14,Seattle SuperSonics,23,11,12,1104,103.5,104.1,-0.6,57.5,1.26,16.1,32.6,65.2,49.4,17.5,48.6,53.2,95.52,49.9,"2,195",2000
14,Toronto Raptors,21,11,10,1013,102.9,100.6,2.3,66.5,1.66,17.5,35.6,70.4,52.7,15.2,45.3,50.4,92.02,52.4,"1,942",2000
17,Denver Nuggets,23,10,13,1119,99.9,105.1,-5.2,64.2,1.56,17.1,30,68.3,48.8,15.2,45.9,50.4,94.11,46.6,"2,196",2000
17,Indiana Pacers,21,10,11,1018,98.9,99,-0.1,58.4,1.21,15.9,30.7,68.6,50,17.9,47.2,51.8,92.58,50.9,"1,967",2000
17,Milwaukee Bucks,21,10,11,1008,103.8,104.6,-0.8,58.3,1.5,16.5,30.8,67.2,48.9,15.2,48.6,52.9,92.88,49.4,"1,949",2000
20,Boston Celtics,20,9,11,975,98.2,100.3,-2.1,57.9,1.16,15,29,70.3,49.1,17.4,46.5,51.4,95.31,46.6,"1,936",2000
20,Detroit Pistons,21,9,12,1008,97.5,100.2,-2.7,55.7,1.12,15.2,31.9,68.4,50.6,18.5,47.1,51.3,97.14,47.1,"2,041",2000
20,Orlando Magic,22,9,13,1071,97.3,98.2,-0.9,59.1,1.17,15.6,33.5,65,48.6,18.5,45.4,49.6,94.9,47.6,"2,114",2000
23,New Jersey Nets,22,8,14,1056,94,98.8,-4.8,60.8,1.26,15.5,28.7,67.1,47.2,16.6,43.8,49,93.94,45.3,"2,067",2000
24,Los Angeles Clippers,23,7,16,1119,94.9,99.6,-4.6,50.9,0.91,13.3,36.3,70.6,53.5,20,44.6,48.5,90.92,44.3,"2,115",2000
24,Vancouver Grizzlies,21,7,14,1023,94.5,97.3,-2.8,64.6,1.33,16.7,29.6,70.7,49.6,17.4,43.8,48.8,92.08,47.7,"1,958",2000
26,Golden State Warriors,22,6,16,1071,96.4,104.2,-7.7,60.8,1.29,15.9,35.3,67.6,50.5,17.4,44.2,48.2,96.65,42.7,"2,158",2000
27,Atlanta Hawks,21,5,16,1008,96,102.5,-6.5,50.6,0.93,13.4,32.2,69.3,50.2,19.3,45.3,50.2,92.19,43.3,"1,935",2000
28,Washington Wizards,21,4,17,1008,94.7,100.2,-5.5,60.7,1.13,15.6,29.1,68.9,49,18.7,44.5,50.1,94.79,46.1,"1,986",2000
29,Chicago Bulls,21,2,19,1008,91.4,106.1,-14.8,58.8,1.13,14.8,31.3,65.3,47.4,18,41.8,46.6,90.67,38.4,"1,904",2000
1,Sacramento Kings,23,17,6,1114,104.8,97.5,7.3,59.3,1.63,17,30.2,71.2,50.9,14.5,48.1,52.3,95.5,54,"2,211",2001
2,Los Angeles Lakers,19,16,3,917,106.5,96.7,9.8,60.5,1.68,17.3,32,66.5,49.6,14.4,49.2,52.6,93.75,57.2,"1,789",2001
3,Minnesota Timberwolves,20,15,5,970,108.1,100.4,7.7,64.6,2.03,19.4,36.1,67.6,52.2,13.9,49,52.7,91.52,57.1,"1,852",2001
3,San Antonio Spurs,19,15,4,917,109.4,100.2,9.3,56.8,1.41,16.1,31.5,69.5,51.3,15.7,51.1,55.6,92.05,56.2,"1,757",2001
5,Phoenix Suns,23,14,9,1114,105.1,99.9,5.2,58.1,1.57,17.5,31.2,67.7,50,15.5,49.8,53.5,94.08,53.8,"2,186",2001
