#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
1,San Antonio Spurs,22,19,3,0.864,48.5,107,38.7,82.3,47,9,21.8,41,20.6,26.1,79,10.6,31.3,41.9,23.8,13.9,9.1,4.8,5.1,18.5,21.5,9.6,2010
2,Boston Celtics,23,19,4,0.826,48.7,100.7,38.9,76.4,50.9,5.1,13.2,38.6,17.8,24,74.4,7.7,32,39.7,25.9,14.7,8.1,4.6,3.8,21,21.3,9.7,2010
2,Dallas Mavericks,23,19,4,0.826,48,98.7,36.8,77.2,47.7,6.8,19,35.9,18.3,23.3,78.2,9.2,32.9,42.1,23.6,14.1,7.5,4.8,3.4,18.6,19.9,6.1,2010
4,Los Angeles Lakers,23,16,7,0.696,48,106.7,39.5,85.3,46.4,7.9,20.3,38.8,19.8,24.5,81,12.6,31.8,44.4,23.2,13.9,8.5,5.3,5.2,20.1,21,7.9,2010
5,Miami Heat,25,17,8,0.68,48.2,101,36.4,76.4,47.7,6.4,16.3,39.1,21.7,28.6,75.9,9.6,32.9,42.6,20.6,13.3,6.8,5,2.6,21.1,22,9.7,2010
5,Utah Jazz,25,17,8,0.68,48.6,101.1,37.7,80.6,46.8,5.4,15.6,34.4,20.3,25.4,80,10,29.4,39.4,24,13.4,7.9,5.4,4.7,23.6,22.4,3.7,2010
7,Oklahoma City Thunder,24,16,8,0.667,49,103.1,35.8,80.3,44.6,4.8,15.1,31.7,26.6,31,85.9,10.4,31,41.4,18.8,14.3,8.6,5.8,4,22.1,22.8,0.2,2010
8,Orlando Magic,23,15,8,0.652,48,97.1,35.4,75.7,46.7,8.6,24,35.9,17.7,25.8,68.7,9.9,31.8,41.7,18.3,15,5.9,4.6,4.2,19.9,22.8,4.9,2010
9,Atlanta Hawks,25,16,9,0.64,48.2,98.8,37.4,79.2,47.2,6,16.4,36.6,17.9,23,78,9.8,30.7,40.4,23.8,13.4,6,4.7,4.5,19.8,20.2,2.7,2010
10,Chicago Bulls,22,14,8,0.636,48.9,100,38,82.7,45.9,5.8,16,36.5,18.2,25.7,70.8,12.4,32.2,44.5,22,15.9,8.3,6.1,6.3,21.2,20.7,2.6,2010
10,Denver Nuggets,22,14,8,0.636,48,105.8,36.5,80.1,45.6,8.2,21.2,38.8,24.5,31.5,77.9,9.7,31.5,41.2,21.1,14.9,7.5,4.1,6.4,22.1,23.5,2,2010
10,New Orleans Hornets,22,14,8,0.636,48,94.7,35.5,76.8,46.2,6,16,37.3,17.8,23.7,75.2,8.6,31.5,40,21.4,13.8,8.1,4.6,4.6,21.7,21,2.7,2010
13,New York Knicks,24,15,9,0.625,48.4,107.7,38.4,82.3,46.6,8.9,24.5,36.5,22,27.3,80.7,10.5,30.9,41.4,21,15.4,7.9,6.8,3.6,21.8,22.5,1.9,2010
14,Portland Trail Blazers,23,12,11,0.522,48.2,95.5,35.3,81.1,43.5,5.9,17.7,33.3,19,23.5,80.9,13.1,26.8,39.9,20.7,13.7,8.4,4.5,4.5,21.3,22.2,0.5,2010
15,Indiana Pacers,22,11,11,0.5,48.2,99.6,36.7,81.8,44.9,9,24.6,36.7,17.1,21.9,78.4,9.3,33.6,43,21.9,15.6,6.8,6.8,6,23,21,2.2,2010
16,Phoenix Suns,23,11,12,0.478,49.1,108.1,39.7,82.9,47.8,8.5,22.8,37.2,20.3,27,75.4,10.8,28.2,39,22.4,14.8,7,3.9,4.3,20.9,24,-1.4,2010
17,Memphis Grizzlies,24,10,14,0.417,48.8,100.2,39.1,83.4,46.9,4.5,13.5,33.7,17.4,23.5,74.2,11.2,28.6,39.8,19.8,15.1,9.1,5,5.8,21.8,21,-1.9,2010
18,Milwaukee Bucks,22,9,13,0.409,48.2,91.5,32.7,80.4,40.7,5.4,17,31.9,20.6,28,73.7,12.3,31,43.3,17.6,13.9,6.8,4.9,5.1,21.3,24.5,-1.5,2010
19,Houston Rockets,23,9,14,0.391,48.4,104.9,37.5,82.2,45.6,7.7,20,38.6,22.2,27.9,79.6,10.6,31.3,41.9,23.1,15.1,6.9,4.9,5.6,21.1,23.1,0,2010
20,Toronto Raptors,24,9,15,0.375,48,102.9,38.7,82.8,46.8,5.1,15.2,33.7,20.3,26.9,75.5,12.3,29.3,41.7,20.6,15.2,7.4,3.3,5.3,22.3,22.1,-2.6,2010
21,Charlotte Bobcats,23,8,15,0.348,48.2,93.6,34.7,76.1,45.5,5.6,16,35.1,18.7,24.7,75.5,10.4,31.1,41.6,21.3,17.1,6.6,6.2,6.6,20.9,21.2,-3.4,2010
21,Golden State Warriors,23,8,15,0.348,48,100.6,39.1,86.7,45.1,7.9,20.4,38.5,14.6,20,72.7,13.3,28.4,41.7,22.2,15.8,9.5,4.2,5.5,23.3,17.7,-6.3,2010
23,Philadelphia 76ers,22,7,15,0.318,48.5,98.5,37.3,80.9,46.1,5.6,14.9,37.6,18.2,24.2,75.4,10.4,31.3,41.7,22.4,13.8,7.4,4.5,4.6,22.3,19.7,-0.5,2010
24,Cleveland Cavaliers,23,7,16,0.304,48,93.9,34.8,81,43,6.3,18.1,34.6,18,24,75,9.2,30.2,39.3,20.6,13.2,6.1,3.4,5.6,19.3,20.7,-8.8,2010
25,Detroit Pistons,25,7,18,0.28,48.8,94.4,35.6,80.2,44.3,5.8,15.3,38,17.4,23.7,73.5,10.9,27.9,38.8,19.1,13.8,6.4,4.1,5.1,20.1,20,-6.5,2010
26,Washington Wizards,22,6,16,0.273,48.7,98,36.8,82.3,44.7,5.7,17,33.7,18.7,24.6,75.8,12,27,39,20.5,16.6,8.7,6,4.8,23.5,20.8,-8.4,2010
27,New Jersey Nets,23,6,17,0.261,49.1,93.4,34.1,78,43.7,5.8,16.3,35.6,19.4,25,77.7,9.8,30.7,40.5,18.7,14.2,4.9,4.4,4.4,22.8,20.1,-5.7,2010
28,Minnesota Timberwolves,24,6,18,0.25,48.2,101.8,37.8,87,43.5,7.2,18.4,39.1,18.9,24.8,76.1,14.2,31.5,45.8,18.8,17.5,6.9,6.4,6.5,24,21.7,-7.4,2010
29,Sacramento Kings,21,5,16,0.238,48,94.4,35.9,82.8,43.3,5.2,16.3,32.2,17.4,24.8,70.2,13.5,29.2,42.7,18.8,14.9,6.4,5.1,5,23.5,21.3,-6.8,2010
30,Los Angeles Clippers,24,5,19,0.208,48.6,96.3,35.7,79.3,45,6,18.1,33.1,18.9,27.1,69.7,12.1,30.5,42.5,21,17.2,7.2,4.5,5.7,22.5,22.8,-5.8,2010
1,Oklahoma City Thunder,20,16,4,0.8,48,100.4,36.1,76.3,47.3,6.5,18.3,35.6,21.7,27,80.2,9.8,33,42.8,18.4,16.9,7.5,6.9,4.7,20.5,20.7,5.3,2011
2,Chicago Bulls,23,18,5,0.783,48,96.9,37.5,81.8,45.9,5.3,14.8,36.2,16.5,22.4,73.4,13.4,31.9,45.3,22.3,14,7.3,6.2,4.8,17.4,18.1,9.4,2011
3,Miami Heat,21,16,5,0.762,49.2,104,38.7,79.6,48.6,5.6,14.6,38.2,21.1,27.7,76.4,10,32,42,21.4,16.1,9,5,4.5,21.1,22.8,7.9,2011
4,Atlanta Hawks,22,16,6,0.727,49.1,97.6,37,81,45.6,7,17.5,40.4,16.6,22.7,73.2,10.2,32.1,42.3,22.4,14,8.2,5.1,4.9,17.7,19.8,7,2011
5,Philadelphia 76ers,21,15,6,0.714,48.5,97.5,38.4,82.7,46.5,6.3,16.5,38.3,14.3,19.8,72.3,9.4,34.3,43.8,22.2,11.4,9.1,4.9,4.6,17.6,17.5,11.4,2011
6,Indiana Pacers,20,14,6,0.7,48.3,93.8,34.3,80.3,42.7,5.4,14.3,37.5,19.9,25,79.8,12.6,32.2,44.8,18,15.7,8.8,5.5,5.7,20.9,21.2,3,2011
7,Denver Nuggets,21,14,7,0.667,49,105.4,38.6,80.3,48.1,6.9,20.3,33.8,21.3,28.6,74.4,9.4,33.1,42.5,24,16.4,9.7,5,6.3,18.5,24,6.2,2011
7,Los Angeles Clippers,18,12,6,0.667,48.3,98.6,36.6,79.7,45.9,7.9,21.3,37.1,17.6,26.6,66,10.9,29.4,40.3,21.8,14.1,8.2,5.7,4.1,21.1,23.2,2,2011
9,Dallas Mavericks,22,14,8,0.636,48.2,94.7,35.8,80.9,44.2,7,21.8,32.1,16.2,22.1,73.1,10.5,32.6,43,21.3,14,9.2,5,4.1,19.9,18.6,4.1,2011
10,Utah Jazz,19,12,7,0.632,48.8,96.8,36.6,81.3,45,3.9,13.3,29.4,19.7,26.7,73.8,11.9,31.3,43.2,20.2,13.8,8.4,6.5,5.8,22.1,21.8,1.2,2011
11,Los Angeles Lakers,22,13,9,0.591,48.2,93.6,35.9,78.5,45.7,4.8,16.2,29.4,17.1,22.9,74.6,11.2,33.1,44.3,21.9,14.9,5.6,5.2,3.6,19.2,20.2,3,2011
11,San Antonio Spurs,22,13,9,0.591,48.7,97.9,38.1,82.8,46,7.8,20.3,38.6,13.8,19.3,71.5,10.1,31.4,41.5,23.2,14,7,4.2,5.3,17,18.5,3.3,2011
13,Houston Rockets,21,12,9,0.571,48.7,98.7,38.4,85.3,45,6.8,20.7,32.7,15,19,79.4,12.5,31.8,44.3,21,14.6,7.4,5,5.3,20.5,17.2,1.7,2011
13,Orlando Magic,21,12,9,0.571,48.2,91.2,33,76,43.4,9.3,24,38.6,16,25.4,63.1,11,32,43,19.6,15.5,6.4,4.1,4.3,18.6,21.9,0.4,2011
13,Portland Trail Blazers,21,12,9,0.571,48.2,97,36.2,83.1,43.6,5.9,19,30.8,18.6,23.8,78.2,11.4,32.1,43.6,21.4,14,8.4,5,5,20.7,21.4,4.5,2011
16,Memphis Grizzlies,21,11,10,0.524,48.2,93.6,36.5,81.9,44.5,3.6,11,32.3,17,22.9,74.4,11.7,30.3,42,18.9,15.3,10.5,4.9,5.5,19.8,20,1.3,2011
17,Boston Celtics,20,10,10,0.5,48,89.8,34.1,74.5,45.7,5.9,14.2,41.5,15.8,21,75.4,8.8,29.5,38.2,21.7,15.6,6.6,5.4,5.6,20.7,19.8,1.8,2011
18,Minnesota Timberwolves,21,10,11,0.476,48,96.6,34.8,80.3,43.4,7,20.6,34,20,26.4,75.6,11.9,31.6,43.4,18,15.5,7.9,4.2,5.8,19.4,22.1,1.8,2011
19,Milwaukee Bucks,20,9,11,0.45,48,94.3,36.3,83.5,43.4,6.6,20.4,32.4,15.2,19.2,78.9,11.7,29.2,40.9,21.7,14.9,8.2,4.7,5.3,20.7,19.2,-0.3,2011
20,Cleveland Cavaliers,20,8,12,0.4,48.3,93.6,34.9,80.3,43.4,6.9,19,36.3,17,24.5,69.4,12.3,29.6,41.9,19.9,17,8.1,4.6,6.1,20.7,21.3,-3.3,2011
21,New York Knicks,21,8,13,0.381,48.5,94.6,33.8,80.1,42.1,7.4,23.5,31.4,19.7,25.2,78.1,10.8,31.1,41.9,18.9,17,9.6,4.3,5,22.4,22,-0.5,2011
22,Golden State Warriors,19,7,12,0.368,48.3,96.2,37,80.9,45.7,7.4,19.9,36.9,14.8,20.5,72.2,9.8,30,39.8,22.8,15.2,8.9,5.2,4.3,23.9,17.6,-3.1,2011
23,Phoenix Suns,20,7,13,0.35,48,91.6,35.4,80.5,43.9,6.5,18.8,34.4,14.5,18.7,77.3,10.1,31.3,41.3,20.9,15.1,6.9,4.9,3.8,19.6,19.5,-4.8,2011
