#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
1,Chicago Bulls,82,62,20,48.4,34.2,79.5,43,5.2,16,32.6,17.7,23.1,76.4,10.1,28.3,38.4,19,14.1,6.9,5.8,5.7,20.1,20,91.3,-7.3,2010
2,San Antonio Spurs,82,61,21,48.2,38.1,83.7,45.6,5.8,15.9,36.7,15.9,20.7,76.6,10.8,30.4,41.2,20.5,13.4,6.9,4.6,4.5,20.7,19,98,-5.7,2010
3,Miami Heat,82,58,24,48.2,35,80.7,43.4,6.7,19.3,34.5,18,24.1,74.4,10.5,28.6,39.2,20.1,13.2,7,3,5.2,21.8,20.4,94.6,-7.5,2010
4,Dallas Mavericks,82,57,25,48.1,36.5,81.2,45,6.2,18,34.3,16.7,22.3,75,10.7,30,40.7,20.6,13.6,7.6,3.7,4.3,20.1,19.2,96,-4.2,2010
4,Los Angeles Lakers,82,57,25,48.4,36.7,84,43.7,6.8,20.3,33.5,15.2,19.9,76.5,12.2,29.3,41.5,22.3,13.6,7.1,4.5,5.1,20.7,19,95.4,-6.1,2010
6,Boston Celtics,82,56,26,48.2,33.8,77.7,43.4,5.4,15.9,34,18.2,24.1,75.6,10.5,29.1,39.6,18.7,15.4,7,4.4,4.2,20.2,20.5,91.1,-5.4,2010
7,Oklahoma City Thunder,82,55,27,48.8,38.1,83.2,45.8,5.9,16.3,36.1,19,25.5,74.4,11.4,29.2,40.6,20.9,14,7.2,4.3,5.9,21.5,22.4,101,-3.8,2010
8,Orlando Magic,82,52,30,48.4,34.9,80.1,43.6,6.3,18,35,17.6,23.7,74.3,9.8,29.9,39.7,20.1,13.9,7.4,3.8,4.7,21.8,20,93.7,-5.5,2010
9,Denver Nuggets,82,50,32,48.1,38.5,83.9,45.9,7,20.4,34.4,18.8,24.8,75.6,10.5,30.8,41.3,22.2,13.7,7.5,6,4.3,22.7,21,102.7,-4.8,2010
10,Portland Trail Blazers,82,48,34,48.3,35.4,75.8,46.7,6.5,17.6,36.7,17.5,22.8,76.7,10.6,29.1,39.7,19.2,15.7,6.9,4.1,4.4,21.3,19.3,94.8,-1.5,2010
11,Memphis Grizzlies,82,46,36,48.5,36.2,79.1,45.7,7.2,19.4,36.9,18.1,23.8,76.1,11,29.1,40.1,21,16.7,7.5,6.2,5.4,21.4,20.8,97.6,-2.3,2010
11,New Orleans Hornets,82,46,36,48.4,35.1,76.9,45.7,6.8,19,35.7,17,22,77,9.4,30,39.3,21.2,14.5,6.1,4.8,4.4,20.4,21,94,-0.9,2010
13,Atlanta Hawks,82,44,38,48.1,36.7,79.7,46,5.6,16.6,33.8,16.8,21.7,77.4,10.2,30.3,40.6,21.4,12.5,6.7,4.2,4.2,18.5,19,95.8,0.8,2010
14,Houston Rockets,82,43,39,48.5,39.8,85.1,46.8,5.5,15.2,35.8,18.6,23.8,78.1,11.6,31.1,42.8,20.8,13.7,7.2,5.5,4.5,21.4,20,103.7,-2.2,2010
15,New York Knicks,82,42,40,48.2,39.5,83.8,47.2,6.5,17.6,37.2,20.1,26.4,76.2,11.8,32.3,44,20.5,15.2,7.1,4.4,5.8,20.8,21.3,105.7,-0.8,2010
16,Philadelphia 76ers,82,41,41,48.6,36.5,81,45.1,5.7,16.8,34,18.7,24.2,77.3,10.7,31.8,42.5,21.5,14.2,7.1,4.6,4.3,18.8,19.4,97.5,-1.5,2010
17,Phoenix Suns,82,40,42,48.8,40.4,85.6,47.2,7.1,19.5,36.7,18.1,24,75.4,12,32.3,44.3,23,14.5,7.9,4.3,4.4,21.2,20.3,105.9,0.9,2010
18,Utah Jazz,82,39,43,48.5,36.2,78.8,45.9,7.2,19.2,37.6,21.7,27.9,77.8,11.3,29.6,40.9,20.7,14.6,7.4,5,5.9,22,22.7,101.3,1.8,2010
19,Indiana Pacers,82,37,45,48.2,37.5,83.4,44.9,6.2,17.4,35.9,19.7,26.3,75,11.4,31.9,43.3,20.4,13.9,7.5,5.7,5.6,21.4,21.7,100.9,1.1,2010
20,Golden State Warriors,82,36,46,48.4,38.7,82.8,46.7,6.9,19.3,35.8,21.4,27.6,77.6,12.8,32,44.8,24.7,16.1,8.2,4.3,5,18.4,22,105.7,2.3,2010
21,Milwaukee Bucks,82,35,47,48.4,34.6,77.3,44.7,5.3,16,33.4,18.3,23.7,77,10.2,32.1,42.3,20.2,15.2,6.2,4.8,4.9,20.7,20.5,92.7,0.8,2010
22,Charlotte Bobcats,82,34,48,48.3,36,79.2,45.5,7,19.6,35.9,18.2,23.3,78,9.8,29.8,39.6,21.7,13.2,7.3,6,5.3,21.1,20,97.3,4,2010
23,Los Angeles Clippers,82,32,50,48.4,37.1,81.6,45.5,7.1,19.5,36.5,20.4,26.4,77.1,11.1,29.4,40.5,22.3,13.7,8,4.9,4.9,22.1,21.1,101.8,3.1,2010
24,Detroit Pistons,82,30,52,48.5,37.9,78.1,48.6,6.4,17.8,35.8,18.3,23.9,76.6,10.6,30.1,40.7,23.3,14.1,6.9,4.6,4,18.8,19.9,100.6,3.6,2010
25,New Jersey Nets,82,24,58,48.8,37.4,80.5,46.5,6.2,17,36.4,19.4,25.8,75.1,10.4,31.4,41.8,22.2,12.3,6.8,4.6,4.7,20,22,100.4,6.2,2010
