#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
1,Philadelphia 76ers,10,10,0,48,33,80.7,40.9,4.5,14.8,30.4,14.7,22,66.8,14.1,27.7,41.8,18.4,18.3,8,5.4,5.4,28.1,23,85.2,-11.1,2000
2,Dallas Mavericks,12,8,4,48,35.5,78.8,45,4.3,13.7,31.7,19,27.3,69.5,13,32,45,21.8,17.3,7.8,4.1,6.8,23.9,23.8,94.3,2.1,2000
3,Los Angeles Lakers,11,7,4,48.5,35.1,80.1,43.8,5.3,15.5,34.1,19.5,25.6,76.2,11.6,28.5,40.2,20.2,13.9,7.2,4.5,6,24.1,22.2,95,-2.7,2000
3,New York Knicks,11,7,4,48.5,31.9,75.5,42.3,5.5,15.2,35.9,15.5,22.5,68.8,10.7,30.2,40.9,20.6,16.4,6.9,4.5,4.7,20.8,22.7,84.7,-2.3,2000
3,Phoenix Suns,10,7,3,48,31.4,76.6,41,3.4,11.6,29.3,21.8,28.1,77.6,10.9,28.2,39.1,18.9,20.1,9.6,4.9,6.2,24,25.5,88,-7.3,2000
3,Portland Trail Blazers,12,7,5,48.4,34.1,79.4,42.9,4.4,13.8,31.9,18.2,24.6,73.9,12.3,26.8,39,20.2,15.4,8.2,4.3,7.3,21.3,23.3,90.8,-2.8,2000
3,Sacramento Kings,10,7,3,50,35.5,82.5,43,3.2,10.4,30.8,17.7,23.8,74.4,12.3,31.6,43.9,20.4,19.7,7.1,4.9,4.4,24.1,20.8,91.9,-9.5,2000
3,San Antonio Spurs,10,7,3,48.5,36.8,84.1,43.8,4,11.8,33.9,11.6,17.3,67.1,11.4,30.1,41.5,21.6,14.8,8.2,6.8,5.5,25.1,19.2,89.2,-4.5,2000
3,Utah Jazz,10,7,3,48.5,31.6,75.7,41.7,4.9,14,35,21.8,28.7,76,10.8,26.5,37.3,18.6,16,7.9,5.6,6.2,26.2,27.6,89.9,-7.3,2000
10,Charlotte Hornets,12,6,6,48.4,32,78,41,4.2,12.8,32.5,18.9,24.6,76.9,11,29,40,18.5,15.7,7.4,4.8,5.3,24.5,22.2,87.1,-3,2000
10,Cleveland Cavaliers,9,6,3,49.1,32.9,79,41.6,4.4,12.2,36.4,22.9,30.2,75.7,12.4,27.9,40.3,20.8,17.1,8.8,5.9,6.2,22.7,27.3,93.1,1.8,2000
10,Denver Nuggets,11,6,5,48.5,37.8,83.9,45.1,4.5,14.6,31.1,19.3,25.5,75.4,12.8,30.7,43.5,24.5,15.1,6.5,6.4,7,24.5,24.6,99.5,2.7,2000
10,Houston Rockets,11,6,5,48,35.2,76.7,45.9,4.5,11.1,40.2,16.1,22.2,72.5,11.4,27.9,39.3,19.9,16.5,6.5,4.5,3.9,23,21.1,90.9,-2.7,2000
10,Minnesota Timberwolves,10,6,4,49,35.1,78.9,44.5,2.9,10.2,28.4,21.2,29.3,72.4,11.9,29.6,41.5,19,16.3,7.6,4.6,5.9,21.6,26,94.3,-2.2,2000
10,New Jersey Nets,10,6,4,48,33.6,76.4,44,5.1,12.9,39.5,19,28.2,67.4,13,31.6,44.6,19.5,20.7,6.8,6.2,6.2,23.4,25.4,91.3,-2.8,2000
16,Indiana Pacers,9,5,4,48,32.4,75.7,42.9,3.4,11.4,30.1,21.1,26.4,79.8,11,30,41,19,16.7,7.2,6,5.4,24.6,24.4,89.4,-2.7,2000
16,Miami Heat,10,5,5,48.5,31.9,74,43.1,3.8,13.2,28.8,16.8,23.9,70.3,10.6,31.1,41.7,17.3,18.8,7.7,6.1,5,22.9,23.4,84.4,-1.7,2000
16,Toronto Raptors,10,5,5,48,37.7,85.1,44.3,3.9,11.4,34.2,13,19,68.4,11.5,29.3,40.8,20.6,13.6,8,6.4,6.5,24.6,21.3,92.3,-3.7,2000
19,Boston Celtics,10,4,6,48.5,36.5,79,46.2,5.1,14.1,36.2,20.8,27.1,76.8,10.1,32.7,42.8,22.3,17.7,8.1,6.4,4.5,24.8,24.4,98.9,4.4,2000
19,Detroit Pistons,11,4,7,48,34.7,84.2,41.3,5.5,15.6,34.9,21.8,29.6,73.6,14.2,30.1,44.3,23.2,15.5,9.9,4.4,5.2,24.4,26.9,96.7,2.6,2000
19,Los Angeles Clippers,12,4,8,48.4,34,81.9,41.5,4.3,12.6,34.4,18.5,25.8,71.6,12.3,27.3,39.6,20.7,13.3,7.8,5.7,5.4,23.9,23.4,90.8,3.8,2000
19,Orlando Magic,11,4,7,48.9,34.9,78,44.8,4.9,14,35.1,23.1,31.5,73.2,13.5,32.1,45.6,23.7,22.5,10.7,5.4,6.2,25.6,26.1,97.8,4.5,2000
19,Seattle SuperSonics,11,4,7,48,38.4,84.5,45.4,4.5,14.8,30.7,15.5,22.7,68.4,14.6,30.3,44.9,21.3,17.4,10.5,5.7,5,24.2,21.7,96.8,3,2000
19,Vancouver Grizzlies,10,4,6,48,33.2,76.5,43.4,4.4,13.1,33.6,16.8,24.7,68,11.4,31.3,42.7,19,17.6,7.2,6.8,3.3,22.3,23.4,87.6,-1.2,2000
25,Milwaukee Bucks,9,3,6,48,35,78.8,44.4,6.4,16.9,38.2,20.8,26.4,78.6,13.1,31.2,44.3,22.4,16.9,6.6,4.6,4.9,24.2,25,97.2,4.3,2000
25,Washington Wizards,11,3,8,48,32.9,77.7,42.3,5,14.2,35.3,21.7,29.7,73.1,10.3,31.2,41.5,19.7,15.8,8.2,6,6.3,24.8,25.9,92.5,2.8,2000
27,Golden State Warriors,10,2,8,49,38,84.8,44.8,5.7,15,38,19.5,25.6,76.2,11.4,33.8,45.2,25.5,16.4,9.3,7,5.6,23,22.6,101.2,8.5,2000
