#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
1,Philadelphia 76ers,9,9,0,1,48,94.3,34,75.1,45.3,2.7,10.3,25.8,23.7,31.4,75.3,11.8,31.1,42.9,19.9,17.1,8.2,5.4,5.6,22.9,0,9.7,2000
2,Utah Jazz,9,7,2,0.778,48.6,97.1,35.2,72.2,48.8,4,9.6,41.9,22.7,32.7,69.4,9.8,30.7,40.4,25.4,17.4,6.1,6.3,5.2,28.2,0,9.1,2000
3,Phoenix Suns,10,7,3,0.7,48,95.3,36.5,80.2,45.5,4.2,15.8,26.6,18.1,24.2,74.8,12,30.4,42.4,23.8,19.2,10.6,6.2,4.9,25.5,0.1,7.3,2000
3,Sacramento Kings,10,7,3,0.7,50,101.4,37.2,83.4,44.6,5.8,16.3,35.6,21.2,27.5,77.1,11,31.2,42.2,24.7,15.6,9.7,4.4,4.9,20.8,0,9.5,2000
3,San Antonio Spurs,10,7,3,0.7,48.5,93.7,34.6,77,44.9,3.9,9.4,41.5,20.6,28,73.6,10.5,32.7,43.2,20.3,16.4,6.5,5.5,6.8,19.2,0,4.5,2000
6,Cleveland Cavaliers,9,6,3,0.667,49.1,91.3,35.8,76.7,46.7,2.2,7.7,29,17.6,25.2,69.6,11.6,31.2,42.8,21.7,20.3,8.7,6.2,5.9,27.3,0,-1.8,2000
7,Dallas Mavericks,11,7,4,0.636,48,90.9,34.4,80.4,42.8,5.3,14.9,35.4,16.9,21.7,77.8,11.2,29,40.2,18.3,15.2,6.8,6.6,4,24,0,-3.1,2000
8,Los Angeles Lakers,10,6,4,0.6,48.5,97.1,37.2,79.7,46.7,4.9,14.6,33.6,17.8,26.6,66.9,12.7,29.2,41.9,22.2,15.4,5.9,6.3,4.5,23,0,2.2,2000
8,Minnesota Timberwolves,10,6,4,0.6,49,96.5,38.1,82.4,46.2,4.5,11.2,40.2,15.8,20.6,76.7,11.8,29.2,41,23,15.8,7.9,5.9,4.6,26,0.1,2.2,2000
8,New York Knicks,10,6,4,0.6,48.5,86.9,33.1,77.2,42.9,4.1,13.7,29.9,16.6,20.3,81.8,9.6,30.7,40.3,17.1,15.5,6.9,4.6,4.7,23.1,0.1,0.8,2000
11,Indiana Pacers,9,5,4,0.556,48,92.1,34.1,79.4,42.9,5.8,16.7,34.7,18.1,24.6,73.8,12.6,30.7,43.2,20.9,16.1,8.1,5.4,6,24.4,0,2.7,2000
11,New Jersey Nets,9,5,4,0.556,48,95,36,81.4,44.2,4,10.7,37.5,19,27,70.4,11.2,28.2,39.4,22.7,14.8,10.3,5.6,6.2,26,0.1,3,2000
11,Toronto Raptors,9,5,4,0.556,48,99.6,36.3,81.6,44.6,5.2,14.4,36.2,21.7,27.6,78.6,12.6,32.8,45.3,25.8,14.6,6.4,6.6,6.4,21.7,0,8.1,2000
14,Houston Rockets,11,6,5,0.545,48,93.6,33.7,74.6,45.2,4.8,14.7,32.7,21.4,27,79.1,10.6,27.1,37.7,18.7,16.5,8.4,3.9,4.5,21.1,0,2.7,2000
14,Portland Trail Blazers,11,6,5,0.545,48,92,36.2,77.2,46.9,3.8,10.8,35.3,15.8,20.8,76,11,30.6,41.6,22.9,17.1,8,6.9,4.2,23.1,0.2,2.3,2000
16,Denver Nuggets,10,5,5,0.5,48.5,96.9,35.5,82.5,43,5.7,17.2,33.1,20.2,28.5,70.9,13.2,29,42.2,23.5,15.2,6.3,6.9,6.7,24.9,0,-3.3,2000
16,Miami Heat,10,5,5,0.5,48.5,86.1,31.9,76.7,41.6,5.5,14.9,36.9,16.8,22.2,75.7,10.9,29.4,40.3,17.9,15.8,9.2,5,6.1,23.4,0,1.7,2000
18,Boston Celtics,9,4,5,0.444,48.6,95,32.9,80.8,40.7,7.4,17.9,41.6,21.8,30,72.6,12.3,29,41.3,18.8,15.8,9.4,4.6,6.6,24.1,0,-2.2,2000
