#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,San Antonio Spurs,23,20,3,1114,111.6,101,10.7,61.6,1.71,17.9,28.9,70.5,50.1,14.5,52.3,57,94.6,56.8,2193.00,2010
2,Boston Celtics,23,19,4,1119,108.3,98,10.3,66.5,1.76,20.1,25.5,72.8,50.8,15.8,54.3,57.9,91.71,59.2,2140.00,2010
2,Dallas Mavericks,23,19,4,1104,107.4,100.7,6.7,64,1.67,18.7,26.6,71.1,50.2,15.4,52.1,56.5,91.98,55.9,2115.00,2010
4,Los Angeles Lakers,24,17,7,1152,111.9,104,8,58.7,1.67,17.3,33.5,67.2,50.7,14.5,50.8,55.4,94.96,55.1,2282.00,2010
4,Miami Heat,25,17,8,1205,109.7,99.5,10.2,56.6,1.55,16.6,27.4,71.1,50.6,14.5,51.8,56.7,91.5,57.6,2301.00,2010
4,Oklahoma City Thunder,25,17,8,1225,107.5,105.7,1.8,52.9,1.35,14.9,29.7,68.7,49.6,14.8,48,55.1,94.2,51.8,2399.00,2010
4,Utah Jazz,25,17,8,1215,109,105.2,3.8,63.7,1.8,18.5,30.5,66.6,48.9,14.4,50.1,55.1,91.52,54,2318.00,2010
8,Atlanta Hawks,25,16,9,1205,108,104.6,3.4,63.7,1.77,18.7,27.8,69.6,49.1,14.7,51,55.3,91.28,52.5,2287.00,2010
8,New York Knicks,25,16,9,1210,110.2,107.9,2.2,55.3,1.42,16.2,27,67.9,47.8,15.3,52.4,57.4,97.8,51.8,2463.00,2010
8,Orlando Magic,24,16,8,1152,106.8,101.6,5.2,51.4,1.22,15,30,72.6,52,16.4,52.4,55.7,90.67,53.3,2180.00,2010
11,Chicago Bulls,22,14,8,1076,104,101.5,2.5,57.8,1.38,16.5,33.3,69.9,51.7,16.5,49.5,53.2,94.33,52.1,2117.00,2010
11,Denver Nuggets,23,14,9,1104,110.3,108.2,2.1,57.3,1.43,16.2,28.7,69.6,49.7,15.2,50.9,56.6,96.8,50.6,2224.00,2010
11,New Orleans Hornets,23,14,9,1104,102.5,100.1,2.3,59.1,1.5,16.9,24.6,73.2,49.3,15.1,49.3,53.6,91.52,51.3,2101.00,2010
14,Portland Trail Blazers,24,12,12,1157,104.9,105.1,-0.2,58.6,1.5,16.3,34.3,69.3,50.6,15.2,46.9,51.8,89.98,49.9,2169.00,2010
15,Indiana Pacers,22,11,11,1061,104.3,102,2.3,59.7,1.4,16.9,27.5,70.5,49.8,16.4,50.4,54.5,95.1,51.8,2102.00,2010
15,Phoenix Suns,23,11,12,1129,110.7,112.1,-1.4,56.5,1.51,16.9,29.2,65.8,47.6,15.1,53,57.1,95.51,48.9,2246.00,2010
17,Memphis Grizzlies,24,10,14,1172,105.2,107.1,-2,50.6,1.31,15.3,31.4,66.3,48.7,15.9,49.7,53.5,93.67,48.4,2287.00,2010
18,Houston Rockets,23,9,14,1114,108.3,108,0.3,61.6,1.53,17.3,30.1,69.1,49.8,15.6,50.3,55.5,96.09,50.9,2227.00,2010
18,Milwaukee Bucks,22,9,13,1061,99,100.5,-1.6,53.9,1.27,14.1,31.1,74.9,51.5,15.1,44.1,49.3,91.97,48.2,2033.00,2010
18,Toronto Raptors,24,9,15,1152,107.5,110.1,-2.6,53.2,1.36,15.7,33,71.6,51.7,15.8,49.8,54.4,95.77,47.4,2297.00,2010
21,Charlotte Bobcats,23,8,15,1109,101.3,105.2,-4,61.6,1.25,16.9,30.8,72.3,51.8,18.5,49.2,53.8,91.87,48.8,2125.00,2010
21,Golden State Warriors,23,8,15,1104,104.3,110.9,-6.6,56.7,1.4,16.5,32.5,65.7,48.2,16.4,49.6,52.6,96.48,44,2219.00,2010
21,Philadelphia 76ers,23,8,15,1114,103.9,104,-0.2,60.5,1.63,17.5,27.3,72.5,50.2,14.7,49.5,53.6,93.29,50.3,2170.00,2010
24,Cleveland Cavaliers,24,7,17,1152,100,110.4,-10.4,58.6,1.52,16,27.2,72.9,48.9,14.3,46.5,50.9,93.17,43.2,2236.00,2010
24,Detroit Pistons,25,7,18,1220,103.7,110.3,-6.6,53.8,1.39,15.4,30.6,68,48.5,15.1,48,52.1,89.72,44,2275.00,2010
26,Minnesota Timberwolves,24,6,18,1157,102.6,110.2,-7.6,49.8,1.07,13.9,35.3,71.1,52.4,17.7,47.6,52,98.7,42.9,2381.00,2010
26,New Jersey Nets,24,6,18,1177,101.2,107.7,-6.5,54.5,1.31,15.1,28.5,70.9,49.8,15.4,47.2,52.3,90.13,44.7,2213.00,2010
26,Washington Wizards,22,6,16,1071,102.7,111.3,-8.6,55.6,1.23,15.7,32.4,64.2,47.9,17.4,48.2,52.6,94.12,44.2,2098.00,2010
29,Los Angeles Clippers,25,5,20,1215,102.2,108.6,-6.4,59.2,1.25,16.2,33.3,71.1,51.7,17.9,48.4,52.4,92.5,45.7,2343.00,2010
29,Sacramento Kings,21,5,16,1008,101.7,109.3,-7.6,52.5,1.27,14.7,33.8,69.1,50.2,16,46.5,50.3,92.67,44.1,1949.00,2010
