#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,James Harden,HOU,30,23,14,9,35.4,31.8,9.1,19.7,46.5,4.0,11.3,35.0,9.6,11.0,87.0,0.9,6.0,6.9,8.2,4.4,2.2,0.8,3.5,56.8,8,2,4.4
2,Giannis Antetokounmpo,MIL,25,19,14,5,29.8,28.3,10.4,18.7,55.5,1.0,3.8,26.0,6.5,9.4,69.7,1.8,13.1,14.9,5.5,3.9,0.6,1.0,3.1,55.4,17,0,12.7
3,Luka Doncic,DAL,21,18,9,9,35.3,28.9,9.6,20.8,46.1,2.5,8.3,30.2,7.2,9.7,74.7,0.9,8.2,9.2,9.2,4.5,0.9,0.4,2.7,53.2,11,5,2.8
4,Bradley Beal,WAS,27,17,8,9,37.3,34.9,12.0,26.1,45.9,3.9,9.6,40.9,6.9,8.4,82.5,0.6,3.0,3.6,5.4,3.8,1.9,0.6,2.1,51.1,1,0,1.5
5,Damian Lillard,POR,29,19,11,8,38.3,31.4,10.1,21.4,46.9,4.6,10.8,42.4,6.7,7.5,89.5,0.6,3.4,3.9,8.5,3.1,1.2,0.4,1.8,50.6,6,0,0.9
6,Kristaps Porzingis,DAL,24,20,10,10,34.3,26.3,8.7,18.8,46.1,3.2,8.5,37.1,5.9,6.8,86.0,1.9,8.6,10.4,2.5,1.4,0.9,2.2,3.5,50.1,11,0,6.4
7,LeBron James,LAL,35,22,15,7,34.0,25.6,9.5,19.1,49.6,2.5,6.9,35.8,4.2,6.0,69.2,0.9,7.3,8.2,9.2,3.8,0.9,0.6,1.8,50.0,12,3,3.7
9,Russell Westbrook,HOU,31,16,10,6,36.0,29.3,11.8,23.0,51.1,0.9,2.6,35.7,4.8,6.9,70.0,1.9,5.6,7.6,6.1,4.7,1.6,0.3,3.3,48.5,4,0,0.8
10,Anthony Davis,LAL,27,22,15,7,33.8,25.0,8.2,16.7,49.0,1.2,3.4,36.0,7.4,9.0,81.8,2.6,6.7,9.3,3.2,2.5,1.4,1.9,2.5,48.3,10,0,3.0
11,Trae Young,ATL,21,16,7,9,36.1,30.2,8.7,21.0,41.4,3.4,10.0,33.8,9.4,10.4,90.4,0.3,3.1,3.3,9.6,4.8,0.9,0.2,2.1,47.0,10,0,-3.1
12,Nikola Jokic,DEN,25,24,12,12,31.9,20.1,7.9,13.8,57.4,0.8,2.7,27.7,3.5,4.2,85.0,2.1,7.1,9.2,7.8,3.4,1.3,0.7,2.9,45.5,13,4,3.0
13,Jayson Tatum,BOS,22,23,16,7,35.5,27.1,9.3,19.5,47.4,3.8,8.2,46.3,4.8,6.2,77.6,0.9,6.2,7.1,3.4,2.7,1.5,0.9,2.1,45.2,4,0,6.6
14,Kawhi Leonard,LAC,29,21,13,8,32.4,26.5,8.9,18.6,47.6,2.4,6.0,40.2,6.3,7.2,88.1,0.7,5.4,6.0,4.5,1.6,1.5,0.5,2.0,44.9,2,0,8.0
