#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2,Russell Westbrook,OKC,28,81,46,35,2802,32.9,10.6,24.9,42.5,2.6,7.5,34.3,9.1,10.8,84.5,1.8,9.3,11.1,10.8,5.6,1.7,0.4,2.4,63.0,62,42,3.2
5,James Harden,HOU,27,81,54,27,2947,28.8,8.2,18.7,44.0,3.2,9.2,34.7,9.1,10.8,84.7,1.2,6.9,8.1,11.1,5.7,1.5,0.5,2.6,55.2,64,22,5.2
6,DeMarcus Cousins,NOP,26,72,30,42,2465,28.4,9.4,20.9,45.2,1.9,5.3,36.1,7.5,9.8,77.2,2.2,9.4,11.6,4.8,3.9,1.5,1.4,4.1,54.1,46,2,-0.4
7,Anthony Davis,NOP,24,75,31,44,2708,27.9,10.2,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.2,2.2,2.2,53.1,49,0,0.7
9,Kevin Durant,GSW,28,62,51,11,2070,27.0,9.6,17.8,53.7,2.0,5.4,37.5,5.8,6.7,87.5,0.7,8.2,8.9,5.2,2.4,1.1,1.7,2.0,51.8,23,1,12.4
11,Giannis Antetokounmpo,MIL,22,80,42,38,2845,23.2,8.3,15.9,52.1,0.6,2.3,27.2,6.0,7.7,77.0,1.8,7.1,8.9,5.5,3.0,1.7,1.9,3.1,49.8,32,3,0.6
13,Nikola Jokic,DEN,22,73,37,36,2038,21.6,8.7,15.1,57.8,0.8,2.5,32.4,3.3,4.0,82.5,3.7,8.9,12.7,6.3,3.0,1.1,1.0,3.8,49.4,39,6,5.3
14,JaVale McGee,GSW,29,77,62,15,739,23.0,10.1,15.5,65.2,0.0,0.1,0.0,2.7,5.4,50.5,4.9,7.0,11.9,0.8,1.9,0.9,3.3,5.3,49.1,0,0,15.2
15,LeBron James,CLE,32,74,51,23,2795,25.2,9.5,17.3,54.8,1.6,4.4,36.3,4.6,6.8,67.4,1.2,7.0,8.2,8.3,3.9,1.2,0.6,1.7,48.9,42,13,6.2
17,Chris Paul,LAC,32,61,43,18,1921,20.7,7.0,14.7,47.6,2.3,5.7,41.1,4.3,4.9,89.2,0.7,4.9,5.7,10.6,2.8,2.2,0.1,2.7,47.7,24,1,10.9
18,John Wall,WAS,26,78,48,30,2835,22.9,8.2,18.2,45.1,1.1,3.5,32.7,5.4,6.7,80.1,0.7,3.4,4.1,10.6,4.1,2.0,0.6,1.9,47.5,50,0,3.1
19,Stephen Curry,GSW,29,79,65,14,2639,27.3,9.2,19.7,46.8,4.4,10.8,41.1,4.4,4.9,89.8,0.8,4.0,4.8,7.1,3.3,1.9,0.2,2.5,47.0,9,0,13.8
20,Kawhi Leonard,SAS,26,74,54,20,2474,27.5,9.3,19.1,48.5,2.1,5.6,38.0,6.8,7.8,88.0,1.2,5.1,6.3,3.8,2.2,1.9,0.8,1.8,46.6,9,0,6.3
21,Karl-Anthony Towns,MIN,21,82,31,51,3030,24.5,9.5,17.6,54.2,1.2,3.3,36.7,4.2,5.1,83.2,3.5,8.4,12.0,2.6,2.5,0.7,1.2,2.9,45.9,62,1,-0.3
