#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Anthony Davis,NOP,25,30,20,10,36.3,30.9,11.7,22.4,52.0,0.9,2.7,33.8,6.6,7.8,85.4,2.5,9.2,11.6,2.0,2.3,2.0,3.1,2.3,60.9,22,1,5.5
2,LeBron James,CLE,33,31,20,11,37.5,29.4,11.1,20.5,54.0,2.1,5.2,39.8,5.1,7.2,71.3,1.2,8.7,9.9,10.0,3.9,1.1,0.6,1.8,57.4,24,10,3.5
3,Russell Westbrook,OKC,29,28,16,12,37.2,25.8,9.5,20.6,46.2,1.0,3.6,27.5,5.8,7.3,78.9,2.0,8.8,10.8,10.3,5.1,1.5,0.4,2.9,54.7,22,10,3.4
4,James Harden,HOU,28,30,27,3,34.4,28.8,8.5,18.9,44.9,3.1,9.3,33.7,8.7,10.1,85.5,0.6,5.4,5.9,8.3,4.4,1.6,0.7,2.1,50.9,12,1,7.9
5,Giannis Antetokounmpo,MIL,23,29,14,15,36.5,24.9,9.3,18.5,50.5,0.7,2.2,31.7,5.5,7.4,74.1,1.7,7.9,9.6,5.0,3.2,1.4,1.7,3.1,50.0,19,1,1.4
6,Nikola Jokic,DEN,23,30,20,10,33.6,21.2,7.6,14.4,53.1,1.8,3.8,47.4,4.2,4.8,86.2,2.5,8.7,11.2,7.4,2.9,1.3,1.0,3.0,49.6,17,8,6.3
7,Karl-Anthony Towns,MIN,22,27,14,13,35.8,24.0,8.5,15.3,55.3,1.6,3.4,46.2,5.4,6.2,88.0,2.9,9.8,12.7,2.7,2.0,0.7,1.3,3.8,47.2,22,0,4.3
9,Damian Lillard,POR,27,28,19,9,36.8,29.2,8.9,20.6,43.3,3.3,9.4,34.5,8.1,8.9,91.5,1.1,3.2,4.3,6.5,2.5,1.1,0.3,1.4,46.0,5,0,6.8
10,Andre Drummond,DET,24,31,15,16,34.4,15.3,6.1,12.1,50.3,0.0,0.2,0.0,3.1,5.3,58.5,5.3,11.8,17.1,1.7,2.3,1.3,2.0,3.1,45.9,28,0,-0.5
11,Kevin Durant,GSW,29,25,16,9,33.4,27.6,9.5,17.8,53.3,2.6,5.9,43.9,6.1,6.8,89.4,0.3,6.4,6.7,5.1,2.9,0.5,1.3,1.5,45.8,6,0,1.6
