Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
James Harden,59,13,35.4,116.2,106.2,10.0,44.9,2.00,23.4,1.7,13.7,7.8,11.7,54.1,61.9,35.3,98.29,19.4,"5,223"
LeBron James,50,32,36.9,113.7,112.1,1.6,43.2,2.15,25.8,3.3,20.1,11.9,12.0,59.0,62.1,31.0,99.12,19.1,"6,250"
Anthony Davis,45,30,36.4,109.2,104.3,5.0,10.4,1.07,8.5,7.0,21.3,14.6,7.9,55.2,61.2,29.1,102.71,18.8,"5,838"
Giannis Antetokounmpo,39,36,36.7,109.4,106.5,2.8,23.7,1.62,15.9,6.0,21.8,14.1,9.8,54.5,59.8,30.7,97.61,18.6,"5,600"
Russell Westbrook,47,33,36.4,112.3,105.6,6.6,46.4,2.15,26.3,4.8,22.6,13.3,12.2,47.7,52.4,32.6,99.59,18.6,"6,037"
Joel Embiid,41,22,30.4,110.6,98.9,11.7,18.2,0.85,11.7,7.8,25.5,17.3,13.8,51.4,57.3,33.0,101.09,17.7,"4,034"
Hassan Whiteside,30,24,25.3,102.1,105.0,-2.8,6.8,0.59,6.8,12.1,31.7,21.8,11.5,54.2,57.3,23.5,98.25,17.6,"2,792"
Nikola Jokic,43,32,32.6,114.0,107.8,6.2,28.6,2.18,25.3,8.1,25.4,16.8,11.6,55.4,60.3,23.8,97.52,16.9,"4,983"
Kevin Durant,49,19,34.2,115.9,108.9,7.0,24.3,1.77,18.7,1.5,16.9,9.9,10.6,58.6,64.0,29.3,102.24,16.8,"4,954"
DeMarcus Cousins,27,21,36.2,108.5,106.6,1.9,24.1,1.06,16.8,6.5,29.2,18.3,15.8,53.0,58.3,31.8,100.29,16.7,"3,634"
Chris Paul,50,8,31.8,116.6,103.3,13.2,38.9,3.57,31.0,2.0,15.1,8.6,8.7,55.0,60.4,24.1,98.60,16.6,"3,792"
Stephen Curry,41,10,32.0,120.6,107.7,13.0,27.2,2.03,21.4,2.4,12.4,7.9,10.6,61.8,67.5,29.0,104.92,16.5,"3,575"
Damian Lillard,44,29,36.6,110.7,104.5,6.1,30.1,2.33,20.8,2.2,9.4,5.8,8.9,51.9,59.4,29.5,98.61,16.5,"5,489"
Kyrie Irving,41,19,32.2,110.0,104.3,5.6,28.2,2.20,18.7,1.7,9.6,5.7,8.5,56.8,61.0,29.8,98.22,16.5,"3,968"
