Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Stephen Curry,71,8,34.2,117.5,99.8,17.7,31.5,2.01,20.7,2.6,11.7,7.6,10.3,63.0,66.9,31.4,102.75,19.7,"5,779"
Kevin Durant,52,20,35.8,114.5,102.9,11.6,23.0,1.44,16.4,1.8,18.8,11.0,11.4,57.3,63.4,29.8,99.34,19.4,"5,347"
LeBron James,56,20,35.6,114.0,102.6,11.4,33.9,2.06,21.6,4.2,16.7,10.6,10.5,55.1,58.8,30.5,94.61,18.9,"5,344"
Russell Westbrook,55,25,34.4,114.8,103.5,11.3,46.8,2.44,29.0,5.4,16.0,10.9,11.9,48.9,55.4,31.1,98.87,18.8,"5,661"
Chris Paul,50,24,32.7,112.3,101.3,11.0,49.3,3.80,33.8,1.7,10.5,6.3,8.9,51.7,57.5,26.5,97.78,18.4,"4,935"
James Harden,41,41,38.1,108.6,106.9,1.6,35.4,1.64,20.7,1.9,14.0,7.9,12.7,51.2,59.8,31.9,98.74,17.4,"6,437"
Hassan Whiteside,42,31,29.1,105.5,103.5,1.9,2.2,0.21,2.9,11.6,28.2,20.2,13.9,60.6,62.9,20.1,93.99,17.2,"4,164"
Kawhi Leonard,60,12,33.0,110.0,95.9,14.1,12.8,1.77,12.3,4.2,16.4,10.6,6.9,56.5,61.6,25.2,94.95,17.0,"4,702"
Anthony Davis,24,37,35.5,103.7,107.8,-4.1,10.0,0.96,7.5,5.9,23.4,14.5,7.8,50.8,55.9,29.0,98.35,16.5,"4,425"
Pau Gasol,36,36,31.8,104.2,104.4,-0.2,21.5,1.79,18.6,6.5,24.9,16.1,10.4,48.1,52.9,24.4,97.47,16.5,"4,656"
Enes Kanter,55,27,21.0,110.3,106.6,3.8,3.2,0.29,3.4,14.5,23.0,18.9,11.8,58.3,62.6,22.9,97.68,16.2,"3,499"
DeMarcus Cousins,29,36,34.6,106.3,104.9,1.3,16.7,0.86,10.2,7.0,24.9,16.2,11.9,47.7,53.8,35.1,102.25,15.6,"4,772"
Karl-Anthony Towns,29,53,32.0,106.8,109.3,-2.5,10.8,0.88,10.0,9.2,24.2,16.9,11.4,55.5,59.0,24.3,97.06,15.4,"5,311"
Paul George,44,37,34.8,104.3,101.5,2.8,20.3,1.24,14.5,2.7,16.5,9.7,11.7,49.0,55.7,29.6,98.79,15.1,"5,811"
LaMarcus Aldridge,61,13,30.6,109.6,97.9,11.7,8.1,1.11,7.9,8.4,19.9,14.4,7.1,51.3,56.5,25.8,94.30,15.1,"4,435"
Chris Bosh,29,24,33.5,101.5,101.0,0.5,12.9,1.64,11.8,2.8,18.8,11.1,7.2,52.0,57.1,24.7,94.41,15.1,"3,503"
Cole Aldrich,41,19,13.3,99.1,99.8,-0.7,10.7,0.78,13.2,11.0,25.2,18.2,16.9,59.6,62.6,18.5,96.70,14.6,"1,604"
Greg Monroe,32,47,29.3,105.8,108.2,-2.4,12.8,1.38,12.9,9.9,21.5,15.7,9.3,52.2,56.2,23.1,95.73,14.6,"4,616"
Kyle Lowry,54,23,37.0,110.8,104.4,6.4,29.3,2.20,23.2,2.0,11.1,6.6,10.6,51.6,57.8,25.6,93.63,14.5,"5,571"
Nikola Jokic,31,49,21.7,105.5,103.1,2.4,17.6,1.82,19.4,9.9,22.3,15.9,10.7,53.5,58.2,19.4,96.50,14.5,"3,488"
John Wall,37,40,36.2,105.8,104.1,1.7,44.9,2.48,30.4,1.5,12.2,6.8,12.3,46.7,51.0,28.0,99.33,14.4,"5,763"
Damian Lillard,40,35,35.7,109.4,107.8,1.6,33.0,2.12,21.2,1.6,9.3,5.4,10.0,49.7,56.0,30.4,98.54,14.3,"5,495"
Kevin Love,53,24,31.5,112.4,103.6,8.8,11.9,1.30,12.8,6.4,25.8,16.2,9.8,49.9,55.3,23.3,93.82,14.3,"4,744"
Carmelo Anthony,32,40,35.1,106.5,107.4,-0.9,20.9,1.70,15.3,3.9,17.3,10.7,9.0,47.4,53.0,29.1,94.50,14.3,"4,982"
Isaiah Thomas,48,34,32.2,108.1,103.2,5.0,31.2,2.31,21.7,1.6,7.1,4.3,9.4,48.8,56.2,28.9,100.70,14.2,"5,558"
Jonas Valanciunas,40,20,25.9,110.8,107.1,3.7,4.5,0.49,5.5,12.5,24.5,18.5,11.2,56.5,61.0,20.4,94.28,14.2,"3,073"
Jimmy Butler,37,30,36.9,104.2,104.5,-0.3,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.53,14.1,"4,976"
DeAndre Jordan,51,26,33.7,111.1,102.1,8.9,5.1,0.84,9.1,10.5,28.6,19.9,10.8,70.3,62.8,15.5,97.09,14.1,"5,239"
Paul Millsap,48,33,32.7,105.6,101.6,4.0,16.2,1.39,15.5,7.5,18.9,13.4,11.2,50.5,55.6,23.8,98.39,14.1,"5,426"
Derrick Favors,30,32,32.0,105.6,103.2,2.3,8.6,0.90,8.4,8.9,18.0,13.4,9.3,51.5,55.1,23.4,92.54,14.0,"3,827"
Nikola Vucevic,28,37,31.3,104.9,106.1,-1.2,15.4,1.46,12.7,8.4,20.3,14.2,8.7,51.1,53.1,26.5,96.76,14.0,"4,107"
Andre Drummond,43,38,32.9,105.9,103.6,2.4,4.2,0.43,4.3,13.5,30.9,21.7,10.0,52.2,49.9,23.9,96.09,14.0,"5,336"
DeMar DeRozan,53,25,35.9,108.8,106.0,2.8,20.8,1.80,14.7,2.3,10.3,6.3,8.2,46.3,55.0,29.1,94.31,13.9,"5,518"
David Lee,27,28,16.4,98.4,102.4,-4.0,16.2,1.27,15.9,10.8,21.8,16.3,12.5,53.1,56.8,21.0,100.21,13.8,"1,880"
Al Horford,48,34,32.1,102.9,98.7,4.2,16.5,2.46,17.8,5.6,15.8,10.9,7.3,54.7,56.5,20.2,99.66,13.7,"5,464"
Draymond Green,73,8,34.7,117.0,99.1,18.0,27.7,2.31,32.8,5.0,19.8,13.1,14.2,55.1,58.7,18.4,102.13,13.6,"5,974"
Kemba Walker,47,34,35.6,107.4,103.6,3.8,25.3,2.46,19.9,1.9,10.2,6.0,8.1,49.5,55.4,26.1,96.57,13.5,"5,814"
Dirk Nowitzki,38,37,31.5,106.8,102.7,4.2,9.6,1.57,9.1,2.2,18.2,10.3,5.8,50.4,55.5,24.9,96.66,13.4,"4,786"
Dwyane Wade,43,31,30.5,105.1,105.5,-0.4,26.7,1.69,18.0,3.8,9.6,6.8,10.6,45.9,51.7,31.0,95.25,13.1,"4,486"
Marc Gasol,30,22,34.4,104.1,103.9,0.1,19.5,1.66,17.3,3.3,17.9,10.4,10.4,46.5,52.8,23.7,93.37,13.0,"3,487"
Marcin Gortat,35,40,30.1,105.2,103.8,1.3,7.2,0.88,9.8,9.6,22.6,16.1,11.2,56.7,59.2,18.6,99.10,13.0,"4,658"
Reggie Jackson,43,36,30.7,107.3,104.8,2.5,34.4,2.21,23.4,2.2,8.3,5.1,10.6,48.2,53.5,28.3,96.84,13.0,"4,896"
Zach Randolph,37,31,29.7,105.9,106.9,-1.1,12.5,1.35,11.3,8.8,18.7,13.6,8.4,47.9,51.9,24.7,93.26,13.0,"3,932"
Rajon Rondo,29,43,35.2,104.9,107.7,-2.8,47.3,3.02,42.6,3.0,13.6,8.3,14.1,49.4,50.6,18.6,102.10,13.0,"5,393"
Jrue Holiday,27,38,28.2,106.7,106.1,0.6,36.5,2.34,24.6,1.4,9.4,5.3,10.5,48.5,52.9,28.3,99.13,12.9,"3,783"
Mike Conley,33,23,31.4,105.7,104.5,1.2,32.4,4.07,28.1,1.5,8.2,4.8,6.9,47.8,53.8,22.5,93.74,12.9,"3,449"
Dwight Howard,34,37,32.1,106.5,105.6,0.9,7.1,0.59,9.1,10.3,26.1,18.2,15.5,62.0,60.4,18.4,98.27,12.8,"4,655"
Giannis Antetokounmpo,32,48,35.3,104.8,107.9,-3.1,19.5,1.66,19.7,4.2,18.0,11.2,11.9,52.0,56.6,22.1,95.64,12.8,"5,628"
Brook Lopez,21,52,33.7,103.4,105.8,-2.4,10.6,0.83,8.9,8.6,15.3,12.0,10.6,51.2,56.2,27.2,96.33,12.7,"4,928"
Derrick Williams,32,48,17.9,98.9,105.9,-7.0,9.6,1.23,9.2,3.2,16.9,10.0,7.5,48.8,55.0,23.0,96.31,12.7,"2,878"
Gordon Hayward,38,42,36.2,105.2,103.6,1.6,18.1,1.47,15.6,2.2,12.1,7.1,10.6,49.3,55.9,25.0,92.88,12.6,"5,600"
Rudy Gobert,33,28,31.7,105.5,100.6,4.9,7.3,0.80,13.1,11.5,24.2,18.0,16.5,55.9,58.2,14.3,91.82,12.6,"3,681"
Ricky Rubio,28,48,30.6,107.5,107.0,0.5,40.2,3.41,41.8,1.8,12.4,7.2,12.3,42.7,52.9,17.3,97.12,12.6,"4,696"
Kenneth Faried,26,41,25.3,106.5,110.0,-3.5,7.7,0.87,8.9,13.2,21.0,17.0,10.2,55.8,57.7,20.3,96.90,12.6,"3,425"
Jon Leuer,22,45,18.7,101.7,103.9,-2.2,9.0,0.96,11.0,5.8,23.0,14.3,11.4,52.6,55.5,19.5,101.86,12.6,"2,661"
Will Barton,33,49,28.7,103.7,106.8,-3.1,14.7,1.46,14.1,2.4,17.7,9.9,9.7,48.9,53.5,22.6,97.27,12.5,"4,778"
Danilo Gallinari,22,31,34.7,105.0,107.8,-2.8,12.2,1.75,12.2,2.7,12.7,7.5,7.0,47.2,58.2,22.6,97.26,12.4,"3,727"
Al Jefferson,33,14,23.3,103.2,100.7,2.5,11.4,2.06,10.7,5.0,21.6,13.3,5.2,48.5,50.7,24.0,97.27,12.4,"2,217"
Ed Davis,43,38,20.8,104.5,103.5,1.0,7.8,1.38,15.2,12.5,21.1,16.8,11.1,61.1,61.6,12.5,97.20,12.3,"3,404"
Kyle O'Quinn,26,39,11.8,99.9,103.8,-3.9,16.1,1.18,16.8,9.7,20.8,15.5,14.2,48.5,52.0,20.6,96.69,12.3,"1,540"
Jared Sullinger,47,34,23.6,107.4,102.1,5.3,14.8,1.83,16.0,9.4,24.3,16.7,8.7,45.3,47.6,21.6,99.25,12.2,"3,960"
Tim Duncan,50,11,25.2,108.1,94.5,13.6,15.3,1.81,21.8,7.9,21.2,14.8,12.0,48.8,52.3,17.1,94.41,12.2,"3,030"
Kyrie Irving,37,16,31.5,111.6,105.8,5.8,25.3,2.02,18.9,2.6,7.1,4.8,9.4,49.6,54.0,28.5,94.52,12.2,"3,290"
Dennis Schroder,47,33,20.3,103.4,95.9,7.5,36.8,1.91,25.1,1.6,10.6,6.2,13.1,47.1,51.0,28.6,97.93,12.1,"3,296"
Evan Turner,47,34,28.0,102.5,100.5,2.0,24.7,2.12,26.4,2.0,14.5,8.2,12.4,46.9,51.3,18.4,100.67,12.0,"4,763"
David West,63,15,18.0,107.5,95.3,12.2,15.0,2.10,20.7,5.5,16.8,11.3,9.9,54.8,57.3,17.5,96.38,12.0,"2,812"
Andrew Nicholson,22,34,14.7,100.6,97.8,2.8,5.0,0.61,6.2,4.1,19.1,11.8,10.2,53.7,56.7,20.5,96.79,11.9,"1,653"
Manu Ginobili,47,11,19.6,107.8,93.1,14.6,23.4,1.79,23.2,2.5,10.1,6.5,13.0,53.3,57.3,22.7,99.10,11.9,"2,335"
Jeremy Lamb,40,26,18.6,102.0,95.8,6.2,11.1,1.54,11.4,3.5,15.7,9.7,7.4,50.6,52.9,21.4,97.72,11.9,"2,497"
Jeff Teague,47,32,28.5,103.2,102.1,1.1,34.1,2.16,26.0,1.4,7.4,4.5,12.1,49.5,55.1,25.9,99.36,11.9,"4,674"
Zaza Pachulia,40,36,26.4,103.9,103.8,0.1,10.1,1.08,15.1,12.4,23.7,18.0,14.0,46.6,55.0,16.3,94.40,11.8,"3,940"
Thaddeus Young,21,52,33.0,103.4,108.0,-4.6,9.4,1.00,10.4,7.6,20.8,14.2,10.4,51.8,53.3,21.7,96.30,11.8,"4,826"
Jordan Hill,40,33,20.7,102.6,101.2,1.3,9.6,0.95,11.1,10.0,18.6,14.3,11.7,50.6,53.4,20.1,96.62,11.8,"3,049"
Jahlil Okafor,6,47,30.0,92.7,108.4,-15.7,8.8,0.52,6.2,7.5,16.0,11.7,11.8,50.9,53.6,27.2,97.08,11.7,"3,223"
Dwight Powell,35,34,14.4,97.7,100.0,-2.3,7.7,1.10,10.0,8.2,18.8,13.5,9.1,49.7,55.7,17.5,99.18,11.7,"2,032"
Tyson Chandler,18,48,24.5,96.3,107.9,-11.5,6.4,0.69,11.7,10.3,25.1,17.4,17.0,58.3,60.6,12.6,98.87,11.7,"3,328"
Ramon Sessions,41,41,20.3,101.8,103.2,-1.4,22.8,2.08,22.3,1.5,10.8,6.1,10.7,50.3,56.5,21.4,101.20,11.6,"3,512"
T.J. McConnell,10,71,19.8,98.4,106.5,-8.1,36.0,2.62,37.1,2.6,13.4,7.8,14.1,50.3,51.1,16.7,99.55,11.6,"3,328"
Nicolas Batum,41,29,35.0,107.5,103.5,4.0,26.2,1.97,26.0,2.2,14.8,8.6,13.2,50.6,54.6,20.9,96.90,11.6,"4,948"
Mario Chalmers,38,23,22.5,104.0,101.7,2.3,27.0,2.09,25.6,1.8,9.7,5.8,12.2,46.2,56.1,21.4,96.75,11.6,"2,772"
Tobias Harris,37,39,33.1,104.8,104.3,0.5,10.6,1.56,13.3,3.8,16.6,10.1,8.5,51.4,56.0,19.2,95.88,11.6,"5,017"
Gorgui Dieng,29,53,27.1,106.2,106.5,-0.3,9.9,1.02,14.7,7.7,19.6,13.8,14.4,53.7,60.1,16.5,96.69,11.5,"4,475"
Chandler Parsons,29,32,29.5,105.3,105.0,0.3,15.8,1.78,17.4,1.7,14.1,8.0,9.8,57.1,58.9,20.4,95.65,11.5,"3,580"
Willie Reed,8,31,10.9,97.2,104.4,-7.2,3.9,0.63,5.4,11.3,17.4,14.3,8.7,57.1,57.9,17.5,98.06,11.4,861
Joffrey Lauvergne,24,35,17.6,101.0,110.8,-9.8,9.3,1.04,10.7,7.3,20.4,13.8,10.4,53.0,56.7,19.6,96.72,11.4,"2,091"
Klay Thompson,71,9,33.3,116.0,101.3,14.6,9.4,1.20,9.3,1.4,9.0,5.5,7.7,56.9,59.7,26.0,101.35,11.4,"5,636"
Aaron Gordon,32,46,23.9,103.2,104.6,-1.4,10.3,1.94,14.9,8.0,18.9,13.3,7.7,50.9,54.1,16.9,98.51,11.3,"3,813"
Kristaps Porzingis,28,44,28.4,104.6,104.3,0.3,7.6,0.78,7.7,6.3,18.4,12.4,10.0,46.7,51.8,24.3,94.93,11.3,"4,048"
Nene,28,29,19.2,102.7,101.4,1.3,14.5,1.28,15.1,4.9,19.9,12.3,11.9,54.4,56.4,21.8,101.30,11.3,"2,309"
Nerlens Noel,10,57,29.3,95.5,106.3,-10.8,10.7,0.77,12.6,7.5,19.5,13.4,16.3,52.2,54.4,18.7,99.14,11.3,"4,048"
Jeff Withey,25,26,12.9,100.8,97.8,3.0,5.1,0.71,8.4,8.9,18.3,13.6,11.8,53.7,57.7,14.9,92.84,11.3,"1,282"
Aron Baynes,43,38,15.2,101.0,104.4,-3.4,7.0,0.76,8.8,10.6,20.2,15.2,11.6,50.5,56.3,18.4,97.48,11.2,"2,518"
Tony Parker,59,13,27.5,107.8,97.1,10.7,29.4,2.89,29.2,0.9,8.0,4.6,10.1,51.2,54.6,21.1,94.58,11.2,"3,899"
CJ McCollum,44,36,34.7,107.5,104.9,2.6,21.1,1.74,16.5,1.6,7.5,4.5,9.5,51.7,54.4,26.6,98.18,11.2,"5,691"
Kelly Olynyk,40,29,20.2,103.6,96.8,6.8,11.9,1.42,13.3,4.7,13.8,9.2,9.3,53.1,56.1,20.4,101.67,11.1,"2,963"
Victor Oladipo,32,40,33.0,105.0,105.4,-0.4,18.2,1.84,18.7,2.0,12.1,7.1,10.1,48.9,53.4,22.4,97.87,11.1,"4,849"
Ian Mahinmi,41,30,25.6,102.9,99.3,3.6,9.0,1.04,13.8,7.6,19.7,13.7,13.2,58.9,60.3,15.7,98.76,11.1,"3,725"
Julius Randle,17,64,28.2,98.9,113.0,-14.1,11.1,0.97,11.6,6.9,29.2,17.4,12.0,43.5,48.2,20.9,97.52,11.0,"4,632"
Marvin Williams,47,34,28.9,108.5,103.6,5.0,7.4,1.77,11.2,5.3,16.5,10.9,6.3,55.4,58.5,16.6,96.24,11.0,"4,695"
Marreese Speights,64,8,11.6,105.2,104.1,1.1,12.6,0.92,9.6,9.2,18.2,13.8,10.4,45.8,50.6,29.3,100.10,10.9,"1,732"
Ish Smith,16,61,29.1,101.7,108.9,-7.3,37.0,2.87,29.2,1.8,11.4,6.5,10.2,44.0,46.5,23.5,99.41,10.9,"4,633"
Kevin Garnett,14,24,14.6,102.0,97.4,4.6,16.4,3.88,30.5,2.8,23.5,13.5,7.9,47.0,49.1,11.4,96.10,10.9,"1,115"
Dewayne Dedmon,21,37,12.2,102.3,103.5,-1.1,2.9,0.41,5.1,9.5,22.3,16.0,12.5,55.9,60.6,15.1,97.62,10.9,"1,424"
Ryan Anderson,24,42,30.4,107.1,106.9,0.2,5.9,0.81,6.1,6.2,13.6,9.7,7.6,49.8,54.6,23.8,99.30,10.9,"4,166"
