#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
3,Anthony Davis,NOP,25,75,45,30,2727,27.9,10.3,19.3,53.4,0.7,2.1,34.0,6.5,7.9,82.8,2.5,8.5,11.0,2.3,2.1,1.5,2.5,2.1,54.5,50,1,3.9
4,James Harden,HOU,28,72,59,13,2551,30.9,9.2,20.5,44.9,3.7,10.2,36.7,8.8,10.3,85.8,0.6,4.9,5.5,8.9,4.4,1.8,0.7,2.4,53.9,31,4,7.4
5,Russell Westbrook,OKC,29,80,47,33,2914,25.1,9.4,20.8,44.9,1.2,4.0,29.8,5.2,7.0,73.7,1.9,8.1,9.9,10.1,4.7,1.8,0.2,2.5,53.7,59,25,4.7
7,DeMarcus Cousins,NOP,27,48,27,21,1737,25.1,8.4,17.9,47.0,2.2,6.1,35.4,6.1,8.2,74.6,2.2,10.6,12.8,5.3,5.0,1.6,1.6,3.8,53.0,38,3,1.6
8,LeBron James,CLE,33,82,50,32,3026,26.8,10.2,18.8,54.2,1.8,4.8,36.7,4.6,6.3,73.1,1.2,7.3,8.4,8.9,4.1,1.4,0.8,1.6,52.8,52,18,1.2
9,Joel Embiid,PHI,24,63,41,22,1912,27.2,9.6,19.9,48.3,1.2,4.0,30.8,6.8,8.8,76.9,2.7,10.3,13.0,3.7,4.4,0.8,2.1,3.9,52.5,38,0,9.1
11,Giannis Antetokounmpo,MIL,23,75,39,36,2756,26.3,9.7,18.3,52.9,0.6,1.8,30.7,6.4,8.4,76.0,2.0,7.8,9.8,4.7,2.9,1.4,1.4,3.0,50.7,42,1,1.9
13,Boban Marjanovic,LAC,29,39,18,21,338,25.0,8.4,15.8,53.4,0.0,0.0,0.0,8.2,10.3,79.4,5.1,10.2,15.3,2.3,3.8,1.1,1.2,5.4,49.8,1,0,5.9
14,Hassan Whiteside,MIA,29,54,30,24,1364,19.9,8.2,15.3,54.0,0.1,0.1,100,3.4,4.8,70.3,4.6,11.7,16.3,1.4,2.4,1.0,2.5,3.5,49.6,28,0,-2.1
15,Kevin Durant,GSW,29,68,49,19,2325,27.7,9.8,18.9,51.6,2.7,6.4,41.9,5.6,6.3,88.9,0.5,6.7,7.2,5.7,3.2,0.8,1.8,2.1,49.5,15,2,5.4
16,Stephen Curry,GSW,30,51,41,10,1631,29.7,9.4,19.1,49.5,4.7,11.1,42.3,6.1,6.7,92.1,0.8,5.0,5.8,6.8,3.4,1.8,0.2,2.5,49.3,5,0,10.7
17,Andre Drummond,DET,24,78,37,41,2625,16.1,6.4,12.1,52.9,0.0,0.2,0.0,3.3,5.4,60.5,5.5,11.6,17.1,3.3,2.7,1.6,1.7,3.4,48.6,62,0,-0.7
18,Nikola Jokic,DEN,23,75,43,32,2443,20.4,7.4,14.9,49.9,1.6,4.1,39.6,3.9,4.6,85.0,2.9,9.0,11.8,6.8,3.1,1.3,0.9,3.1,48.3,38,10,5.2
20,David West,GSW,37,73,52,21,999,17.8,7.8,13.6,57.1,0.1,0.3,37.5,2.2,2.8,75.9,2.3,6.3,8.6,5.0,2.9,1.7,2.7,4.3,45.9,0,0,1.3
21,Chris Paul,HOU,33,58,50,8,1847,21.1,7.2,15.6,46.0,2.8,7.4,38.0,4.0,4.3,91.9,0.7,5.4,6.1,8.9,2.5,1.9,0.3,2.7,45.7,14,1,9.7
22,Clint Capela,HOU,24,74,62,12,2034,18.2,7.8,12.0,65.2,0.0,0.0,0.0,2.5,4.5,56.0,4.3,9.9,14.2,1.2,1.8,1.0,2.4,3.3,45.5,42,0,6.7
24,JaVale McGee,GSW,30,65,45,20,615,18.1,8.0,12.8,62.1,0.0,0.4,0.0,2.2,3.0,73.1,3.5,6.4,9.9,1.9,1.6,1.2,3.3,5.3,45.0,0,0,2.3
25,Ben Simmons,PHI,21,81,51,30,2732,16.9,7.2,13.2,54.5,0.0,0.1,0.0,2.5,4.5,56.0,1.9,6.8,8.7,8.7,3.7,1.8,0.9,2.8,45.0,38,12,5.1
26,Nikola Vucevic,ORL,27,57,17,40,1683,20.1,8.5,18.0,47.5,1.4,4.4,31.4,1.6,2.0,81.9,2.2,9.0,11.2,4.1,2.3,1.2,1.3,3.1,44.9,29,1,-0.7
27,Karl-Anthony Towns,MIN,22,82,47,35,2918,21.5,7.9,14.5,54.5,1.5,3.5,42.1,4.3,5.0,85.8,2.9,9.5,12.5,2.5,2.0,0.8,1.4,3.5,44.8,68,0,4.6
28,Victor Oladipo,IND,26,75,48,27,2552,24.5,9.0,18.9,47.7,2.3,6.1,37.1,4.1,5.2,79.9,0.7,4.8,5.5,4.6,3.1,2.5,0.8,2.5,44.7,3,0,4.7
29,Dwight Howard,CHA,32,81,35,46,2463,19.7,7.4,13.3,55.5,0.0,0.1,14.3,4.9,8.5,57.4,3.7,11.1,14.8,1.5,3.0,0.7,1.9,3.6,44.5,53,0,1.3
30,Kristaps Porzingis,NYK,22,48,22,26,1553,25.2,9.0,20.6,43.9,2.1,5.3,39.5,5.1,6.4,79.3,1.4,5.9,7.3,1.3,2.2,0.8,2.7,3.3,44.3,5,0,0.3
32,John Wall,WAS,27,41,23,18,1410,20.4,7.1,17.0,42.0,1.6,4.3,37.1,4.5,6.2,72.6,0.6,3.3,3.8,10.0,4.0,1.5,1.1,2.0,43.8,19,0,3.3
33,Jusuf Nurkic,POR,23,79,48,31,2088,19.5,8.3,16.4,50.5,0.0,0.1,0.0,3.0,4.7,63.0,3.3,8.9,12.2,2.5,3.2,1.1,1.9,4.3,43.8,27,0,2.7
35,LaMarcus Aldridge,SAS,32,75,45,30,2509,24.9,9.9,19.3,51.0,0.4,1.3,29.3,4.8,5.7,83.7,3.5,5.6,9.1,2.2,1.6,0.6,1.3,2.3,43.2,27,0,4.0
36,Jonas Valanciunas,TOR,26,77,56,21,1727,20.4,8.1,14.3,56.8,0.6,1.5,40.5,3.5,4.4,80.6,3.8,9.9,13.8,1.7,2.4,0.6,1.4,4.0,43.2,26,0,4.7
37,Enes Kanter,NYK,26,71,27,44,1830,19.7,8.3,14.0,59.2,0.0,0.0,0.0,3.1,3.6,84.8,5.4,10.0,15.3,2.1,2.4,0.7,0.7,3.7,43.1,39,0,-3.6
38,Kyrie Irving,BOS,26,60,41,19,1931,27.3,10.0,20.3,49.1,3.1,7.6,40.8,4.3,4.9,88.9,0.6,3.6,4.2,5.7,2.6,1.2,0.3,2.3,43.0,1,0,4.8
40,Kyle O'Quinn,NYK,28,77,28,49,1387,14.3,5.8,10.0,58.3,0.1,0.4,23.5,2.5,3.3,77.2,3.1,9.1,12.2,4.1,2.6,0.9,2.5,5.0,42.9,8,0,-1.0
41,Damian Lillard,POR,27,73,44,29,2670,26.5,8.4,19.1,43.9,3.1,8.5,36.1,6.6,7.3,91.6,0.8,3.5,4.4,6.5,2.8,1.0,0.4,1.6,42.9,11,0,4.7
42,Kevin Love,CLE,29,59,37,22,1651,22.7,7.3,15.9,45.8,3.0,7.2,41.5,5.1,5.8,88.0,2.2,9.7,11.9,2.2,2.0,0.9,0.5,2.6,42.7,31,0,1.7
43,Willy Hernangomez,CHA,24,48,20,28,494,17.9,6.6,11.9,55.5,0.4,0.9,41.7,4.3,6.6,65.6,4.4,8.9,13.3,2.4,2.5,1.3,1.2,4.7,42.4,4,0,0.0
44,Greg Monroe,BOS,28,51,21,30,1041,18.1,7.5,13.4,56.5,0.0,0.0,0.0,3.0,4.1,73.9,3.8,8.3,12.1,3.9,3.3,1.5,0.8,3.3,42.3,9,1,-7.4
45,Montrezl Harrell,LAC,24,76,39,37,1293,23.3,9.7,15.3,63.5,0.0,0.2,14.3,3.9,6.2,62.6,2.9,5.7,8.5,2.1,1.9,1.0,1.4,4.0,42.0,0,0,1.5
46,Al Jefferson,IND,33,36,17,19,484,18.8,8.3,15.5,53.4,0.0,0.2,0.0,2.2,2.7,83.3,2.2,8.4,10.6,2.2,1.6,1.2,1.7,4.9,42.0,1,0,-0.8
48,Blake Griffin,DET,29,58,28,30,1970,22.7,8.0,18.2,43.8,2.0,5.9,34.5,4.7,6.0,78.5,1.3,6.5,7.8,6.1,3.0,0.7,0.3,2.5,41.4,16,3,1.1
49,Pau Gasol,SAS,37,77,45,32,1812,15.4,5.7,12.5,45.8,0.9,2.4,35.8,3.1,4.2,75.6,2.6,9.7,12.3,4.7,2.1,0.5,1.6,2.4,41.2,16,1,1.2
50,Tyreke Evans,MEM,28,52,19,33,1607,22.6,8.2,18.1,45.2,2.6,6.4,39.9,3.7,4.7,78.5,1.0,5.0,5.9,6.0,2.6,1.3,0.4,2.2,41.1,7,0,0.6
53,Bobby Portis,CHI,23,73,25,48,1643,21.1,8.4,17.8,47.1,1.8,4.9,35.9,2.6,3.4,76.9,3.5,7.4,10.9,2.7,2.3,1.1,0.5,2.8,40.8,12,0,-1.8
54,Julius Randle,LAL,23,82,35,47,2190,21.7,8.3,14.9,55.8,0.2,0.7,22.2,5.0,7.0,71.8,3.0,7.8,10.7,3.5,3.5,0.7,0.7,4.5,40.7,28,1,-1.3
55,Jimmy Butler,MIN,28,59,37,22,2164,21.7,7.3,15.3,47.4,1.2,3.3,35.0,6.0,7.1,85.4,1.3,3.9,5.2,4.8,1.8,1.9,0.4,1.3,40.4,3,0,6.2
56,Marc Gasol,MEM,33,73,21,52,2408,18.8,6.5,15.4,42.0,1.6,4.8,34.1,4.2,5.0,83.4,1.2,7.7,8.8,4.6,2.9,0.8,1.5,2.8,40.3,25,1,-4.7
58,DeAndre Jordan,LAC,29,77,39,38,2423,13.8,5.5,8.6,64.5,0.0,0.0,0.0,2.7,4.6,58.0,4.9,12.5,17.4,1.7,2.0,0.6,1.0,3.0,40.1,46,0,-1.9
59,Draymond Green,GSW,28,70,48,22,2287,12.2,4.4,9.7,45.4,1.2,4.0,30.1,2.1,2.7,77.5,1.2,7.2,8.4,8.0,3.2,1.5,1.4,2.9,39.9,23,3,4.9
60,Rudy Gobert,UTA,26,56,37,19,1816,15.0,5.5,8.8,62.2,0.0,0.0,0.0,4.0,5.9,68.2,3.3,8.6,11.9,1.6,2.1,0.9,2.6,3.0,39.8,31,0,6.8
61,Nikola Mirotic,NOP,27,55,34,21,1494,20.7,7.4,16.5,44.7,3.3,8.6,37.7,2.7,3.3,81.8,1.4,8.3,9.8,1.9,1.5,1.1,0.9,2.6,39.8,12,0,3.6
62,Eric Bledsoe,MIL,28,74,40,34,2322,20.4,7.3,15.3,47.3,1.9,5.6,34.7,3.9,4.9,79.5,0.8,3.6,4.4,5.7,3.3,2.3,0.7,2.9,39.8,3,1,1.9
63,DeMar DeRozan,TOR,28,80,57,23,2712,24.4,8.6,18.8,45.6,1.2,3.8,31.0,6.1,7.4,82.5,0.8,3.4,4.2,5.5,2.3,1.1,0.3,2.0,39.7,0,0,5.9
64,Larry Nance Jr.,CLE,25,66,32,34,1421,14.5,6.1,10.5,58.1,0.1,0.3,16.7,2.3,3.5,66.4,4.1,7.4,11.5,2.1,1.3,2.2,1.0,4.4,39.7,11,0,0.4
65,D'Angelo Russell,BKN,22,48,16,32,1234,21.7,8.1,19.6,41.4,2.6,8.1,32.4,2.8,3.8,74.0,0.9,4.6,5.5,7.3,4.3,1.1,0.5,2.7,39.5,5,1,-5.3
66,Kris Dunn,CHI,24,52,19,33,1525,16.5,6.8,15.7,42.9,1.0,3.2,32.1,2.0,2.7,73.7,0.6,4.7,5.2,7.3,3.5,2.5,0.6,4.1,39.5,4,0,-6.5
67,Jordan Bell,GSW,23,57,43,14,809,11.7,5.2,8.2,62.7,0.0,0.2,0.0,1.3,2.0,68.2,2.7,6.5,9.2,4.5,2.3,1.6,2.5,4.1,39.4,1,0,7.1
69,Alex Len,PHX,25,69,20,49,1395,15.1,5.5,9.8,56.6,0.0,0.1,33.3,4.1,6.0,68.4,4.5,8.8,13.4,2.1,2.0,0.7,1.6,4.1,39.2,12,0,-6.6
71,Kyle Lowry,TOR,32,78,57,21,2510,18.2,5.8,13.5,42.7,3.4,8.5,39.9,3.2,3.7,85.4,0.9,5.3,6.2,7.7,2.6,1.2,0.3,2.8,39.1,22,3,5.7
72,Salah Mejri,DAL,32,61,21,40,729,10.6,4.3,6.8,64.2,0.0,0.1,0.0,1.9,3.3,57.6,4.2,8.0,12.2,1.7,1.9,1.1,3.3,6.0,39.0,1,0,1.0
73,Devin Booker,PHX,21,54,16,38,1865,26.0,8.8,20.3,43.2,2.8,7.4,38.3,5.6,6.3,87.8,0.5,4.2,4.7,4.9,3.7,0.9,0.3,3.2,38.7,4,0,-6.9
74,Trey Burke,NYK,25,36,10,26,785,21.2,8.9,17.6,50.3,1.7,4.8,36.2,1.7,2.6,64.9,0.6,2.7,3.3,7.8,2.0,1.1,0.2,2.0,38.6,3,0,-3.7
75,Dennis Schroder,ATL,24,67,21,46,2078,22.5,8.7,19.9,43.6,1.3,4.5,29.0,3.9,4.6,84.9,0.8,2.8,3.6,7.2,3.2,1.2,0.1,2.5,38.6,5,0,-4.8
77,Lucas Nogueira,TOR,25,48,35,13,415,10.6,4.3,6.9,61.3,0.4,1.6,26.3,1.6,2.4,67.9,1.6,6.0,7.6,1.9,1.4,2.0,3.7,4.3,38.3,0,0,7.4
78,Kemba Walker,CHA,28,80,36,44,2736,23.3,7.7,17.9,43.1,3.0,7.9,38.4,4.8,5.5,86.4,0.4,2.8,3.3,5.8,2.4,1.2,0.3,1.3,38.2,3,0,2.7
79,Michael Beasley,NYK,29,74,24,50,1653,21.3,8.9,17.6,50.7,0.7,1.9,39.5,2.7,3.5,78.0,2.1,6.9,9.0,2.7,3.1,0.8,0.9,3.2,38.1,10,0,-3.0
