#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Russell Westbrook,WAS,32,35,20,15,38.2,23.2,8.5,19.3,44.0,1.4,4.4,32.0,4.8,6.7,72.1,1.7,11.6,13.3,13.4,4.9,1.5,0.4,2.9,60.0,35,27,2.3
2,Nikola Jokic,DEN,26,34,25,9,33.0,25.5,9.7,17.1,56.6,1.0,2.8,35.4,5.1,5.9,86.1,2.9,7.6,10.6,8.0,3.0,1.0,0.7,2.5,52.4,26,7,5.5
3,James Harden,BKN,31,11,10,1,32.7,23.0,7.1,16.5,42.9,1.7,6.2,27.9,7.1,8.5,83.9,0.5,7.3,7.8,10.2,3.2,1.3,0.6,2.4,50.2,6,3,1.7
4,Giannis Antetokounmpo,MIL,26,24,17,7,31.6,26.9,9.9,17.0,58.3,1.0,3.3,31.6,6.0,8.5,70.9,1.2,8.9,10.1,5.5,3.0,1.1,0.9,2.4,50.2,14,1,4.2
5,Stephen Curry,GSW,33,26,17,9,34.4,35.8,11.5,23.5,48.9,6.2,14.3,43.2,6.6,7.3,90.5,0.4,5.2,5.6,5.0,3.7,1.1,0.2,2.0,50.0,1,0,6.3
6,Domantas Sabonis,IND,25,25,12,13,35.1,19.6,7.8,14.2,54.8,0.8,2.4,31.1,3.4,4.4,75.7,2.2,10.8,13.0,7.4,3.4,1.4,0.4,3.0,48.5,21,4,-0.7
7,Luka Doncic,DAL,22,32,21,11,33.3,27.2,9.8,20.2,48.2,3.2,9.1,35.2,4.5,6.5,70.0,0.8,6.7,7.5,8.0,4.3,1.0,0.4,2.5,48.2,8,3,3.4
8,Karl-Anthony Towns,MIN,25,31,14,17,34.3,26.6,8.9,18.4,48.2,2.8,7.0,40.1,6.0,7.1,85.0,2.6,8.0,10.6,4.8,3.1,0.7,0.8,3.7,48.0,19,0,1.0
9,De'Aaron Fox,SAC,23,21,9,12,36.4,28.2,10.2,20.9,48.9,1.6,5.5,29.3,6.2,8.0,77.5,0.3,3.3,3.6,6.5,2.5,2.0,0.5,2.9,47.1,1,0,-2.5
10,Zion Williamson,NOP,20,24,12,12,34.2,29.3,11.2,18.6,60.1,0.2,0.6,26.7,6.8,9.6,70.6,2.8,4.8,7.6,4.3,3.1,1.0,0.6,2.0,46.6,5,0,3.4
